operatingSys,subcategory,description,what_is_new,url,NumInstall,DatePublished,softwareVersion,size,topDeveloper,reviews_num,Num_star,app_name
      2.3.3 and up    ,Action,"Airplane Flight Battle 3D puts you straight into the action of this adrenaline pumping army jet fighting combat simulation. Take flight and battle against enemy fighter jets to rise up the ranks and become the best pilot out there. Use all your skill as a pilot to take out both land and air targets to complete each mission. Upgrade and customize your jet to how you want, unlock airplane paint jobs, upgrade to bigger, more lethal weapons to fly the deadliest war machine in the sky.,Battle in air-to-air combat with other planes and jet fighters to rule the skies, fly in many exotic locations, compete with people around the world to show you are the number one army fighter pilot with our specialized leader boards!,You have been tasked with the dangerous missions ever given to a army pilot cadet, it is up to you to show everyone that you have what it takes to be the best pilot. Complete each mission to earn in-game coins and experience to unlock better jet airplanes and get promoted to higher military ranks.,Think you have what it takes to be the best fighter jet pilot? Can you take on the hundreds of enemy airplanes to become the highest ranked officer? Get ready for the latest, most exhilarating air combat simulation yet in Airplane Flight Battle 3D! ,» Multiple planes to choose from:,* Lockhead Martin F-22 Raptor,* F-16 Fighting Falcon,* Mikoyan MIG29,* SU34,* Sukhoi SU35,PLUS! tons of unlockables like planes paint jobs and weapons to upgrade you jet to however you want!",,,"  10,000 - 50,000  ",24-Mar-16,1, 59M  ,,134,3.9,Airplane Flight Battle 3D
      2.3 and up    ,Simulation,"Train Simulator 2016 is the latest cutting edge train simulator that will allow you to become the best train driver!,Zoom across scenic landscapes and experience the thrill of a buzzing train ride with Train Simulator 2016.,With Train Simulator 2016 it’s time to fulfill your dreams as you become the pro train operator and engine driver.,Once you are in the game, the train express is all yours to control.Stop the train before you enter the danger zone! Change the camera view as per your comfort; pick up all the passengers to drop at their respective destinations.,Dodge oncoming trains and do not cross the trains speed limit. You can EARN XP and level up to be the skillful train driver of them all. Pick the speed, apply brakes and drive past beautiful sceneries as you go round the map picking up passengers fulfilling your train transport duty. Explore the vast collection from the old steam locomotive simulator to today’s high speed rails with tons of exciting engine driver adventures for you to enjoy.,Game Features : ,*Challenging train transport levels,*Open/Close Doors Animations,*Unlock and Explore 7 regions 35 levels ,*Accelerate upward to move forward & downwards to slow down,*Press halt to stop the train,*Swipe left and right to take turns,If you face any problems while installation please report to us. This will help us resolve it at the earliest.",,,"  100,000 - 500,000  ",11-Mar-16,,,Top Developer,"5,186",4,Train Simulator 2016
      2.3.3 and up    ,Simulation,"Hoverboard Simulator is a fun way to test out the new craze on your device.  Hold on as you cruise the streets and collect money to buy new boards.  Watch out for cars and other hazards on the road and try and stop the hoverboards from crashing and catching on fire. ,How to Play:,-Hold down with 2 fingers on the board and drag to drive,-Avoid obstacles and pick up cash",,,"  1,000 - 5,000  ",9-Mar-16,1, 10.0M  ,,17,2.6,Hoverboard Simulator
      2.3 and up    ,Simulation,"Welcome to Tractor 3D: Grain Transport!,To make products of the grain it first has to be transported, you are responsible to transport the grain safely to the unloading place. You'll learn how to load and unload grain in tiny spots, with the tractor you have to maneuver the trailer near the grain silo. Also you have to unload your trailer in the unloading place. In this grain transport edition of tractor 3D you'll face all sorts of situations, you have to drive reverse into tiny spots for example, but you also have to make sharp turns forward. To finish a level you first have to attach the trailer, to do that follow the red arrows. After the trailer is attached you have to load your trailer, to do that follow the blue arrows. After the trailer is loaded, you have to unload the trailer, to do that follow the yellow arrows, they lead you to the unloading place.,Tractor 3D: Grain Transport features:,- Farm environment,- Easy tractor controls,- Google Play Games,- Cab-view with side mirrors,- Rotating camera,When you enjoyed Tractor 3D: Grain Transport please support us by following us on Twitter: ,https://twitter.com/JansenGames,Facebook: ,https://www.facebook.com/JansenGames",,,"  10,000 - 50,000  ",24-Mar-16,1, 44M  ,,140,4,Tractor 3D: Grain Transport
      2.3 and up    ,Simulation,"An Epic Story of a Prison Escape City Police Duty, your duty is to control crime in the san andreas city county jail. Use simple tools to kill the prisoner, criminals and gangsters crew and save yourself from their counter attacks. Protect innocent jail wardens from criminals and terrorists? You are the border police of a jail, It's your duty now to watch out prison escape by city criminals. The security of the jailbreak and of the city is in your hands now as the gangster or the criminal escaping from jail will be the threat of crime to the city. Play this prison escape city police duty  game and do not let any prisoner escape the jail., ,Prisoner have been sent to jail for crime. But it’s not easy as the fierce prisoners, aggressive criminals and the gangsters are after you. They are going to give you a very tough time and you don’t even have any escape tools and weapons with you. You only managed to find some simple attacking tools like police baton. Battle start use it to kill the prisoner and criminals by hitting hard on their head and body with these simple attacking tools you managed control of you prison rush. Deal with the counter attacks of the prisoners and gangsters with unique combos. It is a very exciting and thrilling prisoner chase game. Use your stamina and try to successfully catch and lockup the prisoner. Prove that you're a real cop of this criminal jail. Do not let prison escape and rescue their fellow inmates. Use your weapons in the best possible way to kill fierce prisoners. Make your super moves to get rid of the prisoner in one go!, ,Execute a rigorous plan to end this hard time and do not let prison escape. In this game you will have to kill psychotic prisoners to take control of your jail. It will not be an easy task to control the vicious prisoners.  Let’s do it to end the hard times in the prison. It’s all about brave police officer. Your mission is to chase the prisoners and criminals who tried prison escape plan. Track criminal suspects and missing persons in various challenging missions with your fellow police officers. Feel the thrill ramp up when the bad guys escape. Chase and hit them until they give out!, ,Prison Escape City Police Duty Features,•	Police Dog Chasing Prisoners,•	Amazing Prison Environment,•	Interesting Game Play,•	Smooth and intuitive controls,•	Player Punch, Baton, Shield and Combos,•	Stunning & High Quality 3D Graphics,•	Thrilling and challenging Missions",,,"  50,000 - 100,000  ",8-Mar-16,1.2, 46M  ,,783,3.5,Prison Escape City Police Duty
      4.0 and up    ,Trivia,"Guess the names of (thousands) of logos from popular companies all over the world. Logo Quiz World has over 2700 worldwide brands to solve in 21 countries.,Users can choose to solve top global brands or solve logos by countries. ,Countries include: USA, Canada, France, Germany, Italy, UK, Japan and many more,Features:,- More than 2700 logos organized in over 85 levels,- Facebook Connect: enables you to compete with your friends and ask them for help!,- Scoreboard where you can compare your ranking with friends.,- Game progress is synced with Facebook. So you can play from either your phone or PC.,- Hints are awarded to help you figure out the answer!,- High quality graphics.,- Timely updates: new levels are added frequently.,* Completely free",,,"  10,000 - 50,000  ",22-Mar-16, 1.0.1  , 25M  ,,270,4.3,Logo Quiz World
      2.3 and up    ,Simulation," Ever dreamed of driving in a big police truck? ,In  , 3D Police Truck Simulator 2016 ,, you will drive in a big police truck to catch all the bad guys! You start from the bottom with a simple police truck and earn more money by, you guessed it, catching the bad guys. A hardcore police truck simulator made somewhat easier for mobile is here. Police games were never this much fun! Try it out now on your device and see if you have what’s needed to become police truck legend! , Will you become the best police officer of the city? ,Drive through the big city in ,3D Police Truck Simulator 2016 , and catch all the bad guys in our simulator. Walk towards your truck and drive to the mission spots to start with a mission and become the best cop of all the police games! , Unlimited missions for hours of fun gameplay ,You heard it correctly, unlimited missions for you to play! It will be hard sometimes, but you have to push through and become a legend in this simulator! Unique content you won't find in any other police games! , 5 amazing police trucks for you to unlock , ,To make sure you have enough content, , 3D Police Truck Simulator 2016 , offers not 1, not 2, but 5 epic trucks for chasing the bad guys!, drive and catch the bad guys! Will you be the best police officer? Show us your skills in this police games simulator right now! , , 3D Police Truck Simulator 2016 ,  Game Features: , ,▶ Catch the criminals!,▶ 5 epic police trucks to collect!,▶ Realistic 3D city enviroment!,▶ Easy to play with the steer and pedals on the screen!,▶ Fun for all ages!,▶ Fight against crime and get all the criminals off the street!,▶ Police games where never this much exciting!,We hope you will like our police games and don’t forget to rate us on Google Play!, *** ANY IN GAME PURCHASE WILL REMOVE ADS FOREVER ***,We’re on Twitter, Facebook and more - find us on your favourite networks to hear about our newest games and other news updates:,Facebook - ,https://www.facebook.com/MobileGamesbv,Twitter - ,https://twitter.com/mobilegamesbv,YouTube - ,https://goo.gl/snGH7I",,,"  10,000 - 50,000  ",2-Apr-16,1.2, 49M  ,,85,3.7,3D Police Truck Simulator 2016
      2.3.3 and up    ,Action,"Sniper Killer Assassin Shooter is a brand new, realistic first person action shooting game. Your role as the elite sniper based in hidden sniper's nest, take out enemies army soldiers that occupy the area to keep the town safe. Complete each sniping level by using your tactical M24 sniper weapon system rifle to take out all of the enemies in the area to advance to the next zone.,Take out all the enemy soldiers before your health bar is depleted, or you will lose. Each new combat level comes more enemy soldiers with more guns who will move into position to take you down. Become the sniper elite with you  marksmen skills and become the deadliest sniper to defeat the enemy army soldiers.",,,"  10,000 - 50,000  ",22-Mar-16,1, 37M  ,,292,3.9,Sniper Killer Assassin Shooter
      4.0 and up    ,Action & Adventure,"New fun racing game for kids! Help these monkeys to save the city! There is fire starting to spread everywhere and you are the only one that can stop it!,Pick one of these 4 cool cars, find a fire source in the city, use your car power to kill the fire or use special button to summon monkeys that will help you to do it quickly!,This is a fun game for boys and girls, even a toddler can play it without any problems! And it is yet so fun that everyone will find something to laugh from while in adventure. ,Children loves the cute characters, graphics, fun race, sweet soundtrack and sounds! Try it yourself!",,,"  100,000 - 500,000  ",23-Mar-16,,,Top Developer,838,3.8,Fire Fighters Racing for Kids
      2.3.3 and up    ,Racing,"Speed, adrenalin, fast bikes, great scenery... What else do a real biker wants more? Superbike Rider will give you all of these by letting you ride your superbike in an endless highway through traffic.,Super bike Rider is easy to play but hard to master. You need to tilt your device to control your bike and dodge traffic.,Chose among various bikes.. The better your bike, the better you score.,Connect to Google Play Game Services and compete with your friend in online leaderboards.,Fast blast racing is what you need biker!",,,"  100,000 - 500,000  ",13-Mar-16,,,,"3,420",3.9,Superbike Rider
      2.3.3 and up    ,Racing,"Traffic Motorbike is high speed motorbike simulator game with 5 different mode. Reach the top of the Skyscraper in TRIAL Mode. Collect gold coins and hit enemy cars.,If you like Simulator Games and Motorbike Driving, try it for FREE.,***FEATURES***,* Customizable Rider and Motorbikes,* AAA Physics Engine,* Real World Environments,* Super Motorbikes 10+,* Real Engine Sounds,* Easy Controllers,* Fantastic Suspension,* Tablet Support,* Immersive Mode",,,"  10,000 - 50,000  ",18-Mar-16,1.01, 60M  ,,354,4,Traffic Motorbike
      2.3 and up    ,Puzzle,"Hidden Scenes is a game similar to a jigsaw puzzle where you swap and flip the pieces to reveal the hidden scene. When all pieces are flipped / swapped into their correct location, you win!,It's time for some spring cleaning! These rooms are in dire need of a tidy up. Help out by revealing the hidden scenes!,Five different modes of play:,SWAP - swap the pieces into their correct spot, easy and relaxing,FLIP - swap and flip the pieces into their correct spot, a little more challenging,ROTATE - swap and ROTATE the pieces into their correct spot! Can be very challenging!,RADIAL - swap pieces of a circular puzzle, very unique!,CHALLENGE - Play through exciting fast paced timed and move counting games!  Are you fast enough to make it through all 50??,Get bonus power-ups during gameplay!, 500 coins - make correct matches in a row, 500 coins - quickly match three in a row, 500 coins - complete the puzzle without using the preview button, 1000 coins - complete the entire puzzle without making any mistakes!,Download this dynamic jigsaw puzzle now and join in on the fun! Uncover the beautiful hidden scenes and treasures this app has to offer!",,,"  1,000 - 5,000  ",1-Apr-16, 1.0.7  , 42M  ,,72,4.5,Hidden Scenes Spring Cleaning
