operatingSys,subcategory,description,what_is_new,url,NumInstall,DatePublished,softwareVersion,size,topDeveloper,reviews_num,Num_star,app_name
      4.0.3 and up    ,Word,"Monkey Wrench is a fun word find with a twist – you have to use the clues to figure out what the hidden words are! The answers will be about movies, food, science, sports, fashion, history, and many other subjects – the 3 difficulty levels and helpful hints will give you just the kind of word-searching fun you’ve been looking for!",,,"  50,000 - 100,000  ",9-Mar-16, 1.3.0  , 18M  ,,"1,169",4.8,Monkey Wrench
      4.0.3 and up    ,Casual,"To celebrate 10 years of Delicious we're bringing you a special Anniversary Edition with endless gameplay! In Delicious - Emily’s Cook & GO you serve dishes all over the world. Start cooking meals in an exotic Hawaiian kitchen where you get the chance to prepare many tasty recipes. As you become a super skilled chef you visit an exquisite English diner, a fantastic French café and a beautiful Brazilian restaurant. If the fancy takes you, you can even travel to cozy kitchens in Germany, China and Holland. Can you take the heat?! Then play in frenzy mode for a real feverish cooking challenge… Have a lot of fun, and become a happy cooking star!,The first location is free with an in-game unlock for the full complement of locations.,Game features:,- Enjoy this special Anniversary Edition of Delicious,- Play the perfect on-the-go game,- Dash through 7 exotic locations,- Serve tasty dishes like potato chips, sweet candy and chocolate cakes,- Enjoy endless time management fun,Get to know all about Emily: www.deliciousemily.com ,Become a Delicious fan on Facebook: www.facebook.com/DeliciousGames,Enjoy other Delicious - Emily games:,- Delicious - Emily's Hopes and Fears,- Delicious - Emily's Home Sweet Home,- Delicious - Emily's New Beginning,- Delicious - Emily's Honeymoon Cruise,- Delicious - Emily's Wonder Wedding,- Delicious - Emily's True Love",,,"  10,000 - 50,000  ",29-Feb-16,12, 103M  ,Top Developer,941,3.9,Delicious - Emily's Cook & GO
      2.2 and up    ,Action,"Can you figure out how to kill all of the stickman? There are several levels to this complex game, and use your intelligence ! Click Click Click!!!",,,"  10,000 - 50,000  ",25-Feb-16,1, 2.1M  ,,100,3.5,Death Came
      2.3 and up    ,Action,"Tình Võ Lâm - Tinh Vo Lam là một tựa game thể loại MMORPG được phát triển dựa theo cốt truyện của VLTK, một tựa game đã đi sâu vào tâm trí nhiều game thủ. Những hồi ức về VLTK của bạn nay sẽ được tái hiện trên Mobile một cách vô cùng chân thực. ,Còn gì tuyệt vời hơn việc cầm trên tay chiếc điện thoại, điều khiển nhân vật của bạn đánh từng con heo, con nhím và rồi nhặt được những món đồ giá trị... Hay là tự tay nâng từng điểm tiềm năng, kỹ năng cho nhân vật... để rồi chứng tỏ sức mạnh bản thân trong chiến trường Tống Kim, Phong Lăng Độ, săn Boss...,TẤT CẢ ĐÃ SẴN SÀNG VÀ CHỜ BẠN KHÁM PHÁ!,Những tính năng đặc sắc:,- ĐỒ HỌA VÕ LÂM QUEN THUỘC,Không khó để nhận ra những hình ảnh, tên địa danh, vũ khí đã trở thành huyền thoại trong VLTK. Một lần nữa ký ức huy hoàng của Võ Lâm Kiếm Hiệp lại bùng lên mãnh liệt.,- TỰ ĐỘNG CÀY ĐỒ HOÀNG KIM,Không còn phải cực khổ cày cuốc, không lo tốn pin, mất mạng, dù bạn có ở trong game hay thoát ra các trận chiến vẫn diễn ra liên tục. Còn gì vui hơn sau cả ngày không vào, quay lại thấy hòm đồ đã đầy chiến lợi phẩm và kim nguyên bảo!,- NGŨ ĐẠI MÔN PHÁI – NGŨ HÀNH TƯƠNG KHẮC,Tình Võ Lâm - Tinh Vo Lam mang đến cho các đại hiệp một thế giới võ lâm chân thực nhất trên mobile với ngũ đại môn phái tương ứng với Ngũ Hành: Kim – Thiếu Lâm, Mộc – Đường Môn, Thủy – Nga My, Hỏa – Cái Bang, Thổ - Võ Đang. Đồng thời những kỹ năng trấn phái nổi tiếng cũng sẽ được tái hiện hoàn toàn trong Tình Võ Lâm như: Giáng Long Thập Bát Chưởng, Dịch Cân Kinh, Bạo Vũ Lê Hoa Châm, …,- CHUỖI NHIỆM VỤ DÃ TẨU HUYỀN THOẠI,Dã Tẩu đã chính thức có mặt trên Mobile, và bạn có thể nhận rất nhiều vật phẩm quý giá qua việc thực hiện các nhiệm vụ mà Dã Tẩu giao phó. Tất nhiên, nhiệm vụ càng khó thì thưởng càng nhiều, mốc nhiệm vụ càng cao thì thưởng càng lớn.,- CÁC TÍNH NĂNG NỔI BẬT KHÁC,Chiến trường Tống Kim,Hoa Sơn luận kiếm,Săn boss Hoàng Kim,Thợ rèn, chế trang bị.,Vượt ải Phong lăng độ,Bang hội săn Boss,Vận tiêu - Cướp tiêu,Tình Võ Lâm - Tinh Vo Lam thực sự là một tựa game không thể bỏ qua đối với những người yêu thích thể loại Võ Lâm (VLTK), thích đọc truyện Kim Dung... Hãy tham gia ngay, và viết nên câu truyện của chính mình trong thế giới Tình Võ Lâm!,Trang chủ: ,http://tinhvolam.vn,Facebook: ,http://facebook.com/hoiucvolamtruyenky,Hỗ trợ: ,http://hotro.aivo.vn,GIFTCODE",,,"  10,000 - 50,000  ",8-Mar-16, 1.0.32  , 47M  ,,947,4.1,Tình Võ Lâm - VLTK
      2.3 and up    ,Strategy,"Galaxy Commander Tower defense is the most anticipated and visually stunning Tower Defense game in the theme of Galaxy defense. We hope give you enjoy an incredible game experience.,New tower defense 2016,Features:,* 40 maps Campaign levels & enjoy the endless mode! ,* 30+ types of enemy units,* 6 types of towers, Gun Machine, Slow Tower, Missile tower, Laser tower, Ice tower, Fire tower. Each tower has 4 upgrading levels.,* Free combination of all turrets.,* 2 game modes: Campaign& Endless.,* You may upgrade more power of your tower, which will offer you more fun.",,,"  10,000 - 50,000  ",2-Mar-16, 1.0.3  , 40M  ,,"1,323",4.9,Galaxy Commander Tower defense
      2.3.3 and up    ,Word,"One word per photo. 30 words per level. 570 words in the game. Can you find all of them? Sometimes you have to think beyond the obvious. Good luck!,This game:,• is fun for the whole family,• exercises your brain,• can be played in English, French, German, Russian, Spanish, Portuguese and Italian.,This is an addictive and challenging word puzzle. Enjoy!",,,"  1,000 - 5,000  ",6-Mar-16, 1.0.1  , 39M  ,,189,4.4,570 Words
      2.3 and up    ,Casual,"Walk with Babsy Baby through the colorful fantasy world and search for the surprise eggs.,There are more than 20 different games hidden in those eggs.,When you find an egg and you open it the hidden game will be startet.,There are many different games covering most game types like jump and run, racer, etc.,Have fun with this great Easter Game :)",,,"  5,000 - 10,000  ",10-Mar-16,1, 77M  ,,43,3.7,Surprise Eggs Easter Fun Games
      2.3 and up    ,Casual,"Hi, if you like stories with princesses means you'll be glad to know that we prepared for you the most beautiful game for girls. You'll be able to know a beautiful princess, you'll be able to become her friend and even learn much about her kingdom. From the stories we know that princesses are beautiful and very good and this is why we know that you will have a wonderful day with us. Starting today you'll be the best friend of ours, we have great confidence in you and know that you will help us with everything we need. Here you'll be able to do part of a royal story, you'll be able to see what life has the royalty and learn useful things. Through this kids game with princesses you'll be able to test your skills and even more you can make new friends. Here you will know a beautiful love story of a princess and a prince. The two young men want to get married and only you can help them have the best day. You'll be able to prove that you are a very good organizer of events and you'll even be able to prove you're a good friend.,Success!,- At first you should prepare invitations;,- You need colored paper, glue, crayons, scissors and flowers;,- Send invitations;,- Now you have to do cleaning;,- Collect garbage;,- Clean water from the ground;,- Wash carpet;,- Clean windows;,- Clean the wall;,- Then decorate the room with balloons and flowers;,- Arrange furniture;,- Prepare food;,- You'll have to do cheeseburgers;,- Fry the burgers;,- Then cut the roll;,- Add cheese;,- Add lettuce;,- Cheeseburgers are ready;,- Princess wants to look really good;,- Fill the tub with hot water;,- Add foam;,- Wash her hair with shampoo;,- Rinse with warm water;,- Then you have to do nails;,- Wash hands with soap;,- Clean the old nail polish;,- Cut nails;,- Apply a nail right;,- Princess is ready for the party;,- The guests arrived;,- They want to eat;,- You must choose the most beautiful music;,- Prince falls in love with a beautiful princess and asks her to be his wife;,- The two decide to marry;,- Decorate garden where the wedding will take place;,- Prepare  the bride's bouquet;,- The bride and groom are very happy;,- After several years the two have a child and are very happy because it goes to kindergarten;,- Prepare backpack and breakfast;,- Then the two must go to the park;,- You did a great job, you're a great friend.,Thanks for your help, please come back every day through this makeup game for brides.,Have fun!",,,"  10,000 - 50,000  ",25-Feb-16,5.7, 42M  ,,56,3.8,Princess Castle Story
      4.1 and up    ,Casual,"Most little girls dream of dancing a stunning ballet on the ice wearing a gorgeous costume, and now you’re the star of the ice show.  Twirling and dancing like a ballerina on the ice!,Gliding on the ice as only a well-trained ice dancer can, you are the envy of everyone in the audience.  Take a big breath because your night of fame is here.  That can be a bit nerve-racking for anyone, so take a little time for yourself.  Go to the spa for some really relaxing facial treatments that will get you looking your best.  You want to shine bright on the stage, so put on some makeup with sparkles in it.  There are so many costumes to choose from, and you can try them all! ,How to Play:,• It’s opening night!,• Time to get ready,• Get pampering at the spa with facial treatments,• Put on your sparkly stage makeup to look amazing,• Dress up in a variety of fun costumes to find the perfect one,• Show Time! Let's dance!,Ice skating is an exciting sport, and you’ve always loved ice dancing.  Before suiting up before your first big show, take some time to relax.  Spa check.  Makeup check.  Costume check.  Time to dazzle the crowd!  ,Download today to get teh dance started! ,[[Find out more fun games on our social media!  ]],If you want to check us out, visit our website: ,http://www.lovefashiondoll.com/,Like us on Facebook:  ,https://www.facebook.com/Fashion-Doll-Inc-541320739345559,Follow us on Twitter:  ,https://twitter.com/FashionDollInc",,,"  5,000 - 10,000  ",8-Mar-16,1.1, 42M  ,,127,4.1,Fashion Doll - Ice Ballet Girl
      3.0 and up    ,Puzzle,"Do you like blast or splash jellies ? ,Play awesome and great match3 puzzle game . Fun is everywhere. ,Features: ,★ Beautiful jellies,★ Funny boosters ,★ Free & easy to play,★ Switch and match and splash jellies in group three or more, think twice before every move,★ Beat tough levels with the help of boosters,Can you score high enough to earn 3 stars on every level?,Jelly Crush Mania - amazing match 3 puzzle!",,,"  500 - 1,000  ",9-Mar-16, 1.0.0  , 27M  ,,1,1,Jelly Crush Mania 3
      2.3.3 and up    ,Creativity,"Dear little one, from today on,Let's be a happy little farmer,Fishing, planting crops, and even taking care of all the cute animals.,Look at the beautiful stretch of green land, you can't help loving it with just a glimpse. And you got a lot of cool things to do here, sort out the goods in the warehouse, shear the sheep and treat the pigs. But sometimes things may pile up…See~ the tractor is broken and it needs some overall maintenance. Oh, the bumper crop of carrots is waiting to be harvested now! Don't worry, little one, you can handle this. Let's go enjoy the fun-filled rural life and fix the problems one by one.                            ,How to play:,Open the game to enter the farm. All right, it's time to get the job done. You can start by tapping the pond, where many fantastic fish can be found. Drag the fishing net and let it go at the right moment to try your luck. Well, the tractor, our friend Old Fred calls for a decoration, why not go check on it in the garage? Click the list on the right to deck it with a cool roof, then paint it with a new color, replace the tires with new ones, and choose a special item to adorn its fresh look. Wow~ cool Fred. Wanna have something exciting? Ok, you'll love the horse race. Tap the button on the right to let your horse run, and the ""Rocket"" button can help the horse speed up. Yoo-hoo! Dear pony, go go go! , , Features:,- 10 cool mini games to get you indulged in,- Have fun in caring for animals & planting crops,- Collect flowers and unlock items to beautify the land,- Vivid animations bring the game to life,- Be a farmer and enjoy the rural life,About Libii Game:,With over 400 million downloads and growing, Libii is committed to creating innovative games for kids. We'll keep working on establishing a good relationship with both parents and their children and bringing a healthy, happy atmosphere for them.,Visit us: ,http://www.libii.com/,Like us: ,http://www.facebook.com/LibiiGame,Contact us:,Got any ideas? Suggestions? Need technical support? Please feel free to contact us 24/7 at ,WeCare@libii.com,Need You Know:,This app is totally free to download and play, some basic items are also free to use, but some additional items need you to purchase and pay to unlock. Therefore, if you do not want to use these items, please turn off the in-app purchase in your settings. Thanks.",,,"  5,000 - 10,000  ",2-Mar-16,1, 56M  ,,187,3.9,My Sweet Farm
      4.0.3 and up    ,Casual,"Mojjy Best Games Ever is most beautiful game for play online html5 games. It contains dozens of different categories games. Ball games, puzzle games, car games and more.,Please open your internet connection for play games.,Have fun.",,,"  100,000 - 500,000  ",6-Mar-16,,,,403,3,Mojjy Best Games Ever
      2.3 and up    ,Simulation," Want a mobile game which has all vehicles in it? Look no further! ,Driving School 3D Highway Road has all of it, you name it. Cars, Trucks, Busses and an epic Police car. Whatever your mood is when you open , Driving School 3D Highway Road ,, it has a vehicle waiting for you to drive it into the sunset!  , Truck Simulator? Bus Simulator? ,The amount of Trucks, Busses and Cars in it will make you believe you are playing another type of mobile game, but you are correct, it is an epic combination between the three type of games. Why not combine it?  , Driving School 3D Highway Road , has 6 Trucks, 5 Busses which includes a special prison bus and 5 cars! Learn to drive these awesome vehicles and find out what suits you the most! , Missions? Driving School’s got ‘m ,Like a real driving school you will start with the basic, learn to drive the different cars and take it a step higher from there on. Pay attention to what the driving instructor is telling you and gain a special rank after each mission, are you an A+ student, A or maybe you don’t care about your rank., , Free Ride for the non-students! , , Driving School 3D Highway Road , understands if you don’t want to get back to school, for you we have an epic mission mode called Free Ride. In here you can drive from Paris to Berlin, Amsterdam to London or maybe you want to go south to where the sun is in Madrid! , Driving School 3D Highway Road - Game Features: ,★, Three different kind of vehicles! ,★,  Drive a bus, a truck or a car! ,★, Learn to drive in 20 epic driving school missions! ,★, Free Ride if you already know how to,Download Driving School 3D Highway Road and let us know what you think in the ratings! Have fun! ,Facebook - ,https://www.facebook.com/VascoGames,Twitter - ,https://twitter.com/VascoGames,YouTube - ,http://goo.gl/HChVVx",,,"  50,000 - 100,000  ",2-Mar-16, 1.0.1  , 46M  ,Top Developer,800,3.7,Driving School 3D Highway Road
      2.3 and up    ,Casual,"Assemble the parts are scattered,Try assembling a large and powerful robot dinosaur ""Amargasaurus"".,After assembling You can use a variety of techniques.",,,"  50,000 - 100,000  ",15-Feb-16, 1.0.0  , 22M  ,,333,3.8,Amargasaurus - Dino Robot
      4.0.3 and up    ,Arcade,"Tune up your ninja senses, sharpen your slashing skill!,The #1 slashing puzzle iSlash is back with new deadly gameplay elements, fearless bosses, stunning graphics and lots of challenging levels! ,ADDICTIVE GAMEPLAY,Be Warned! iSlash Heroes features the same addictive slashing gameplay that kept millions of ninjas awake! And now it's packed with new features, new enemies and new challenges.,2 MODES // 200 LEVELS (more to come),Master your skills in Casual mode and when you are ready unleash your inner Ninja for ultimate destruction. Easy to learn yet challenging to master, iSlash Heroes features two modes with 200 levels packed with hours of fun!,DEFEAT THE EVIL BOSSES,iSlash Heroes introduces deadly evil bosses that rule the land with fear. Each one has vicious skills in their sleeves but no one is invincible. Fight and defeat them with your slashing craft. Your fate is at your fingertips!,SOCIAL NINJA,Success means nothing when no one is around! Satisfy your social ninja by connecting to Facebook. Help each other when needed but always show them who is the best slasher!,Indulge your slashing cravings in this addictive, challenging and fun journey!,Keep Sla/sh/ing!",,,"  100,000 - 500,000  ",9-Mar-16, 1.1.3  , 45M  ,,"3,403",4.4,iSlash Heroes
