operatingSys,subcategory,description,what_is_new,url,NumInstall,DatePublished,softwareVersion,size,topDeveloper,reviews_num,Num_star,app_name
      2.3 and up    ,Sports,"Stickman Volleyball is the FREE latest volleyball sports game to rock your phones! You are assigned to play a sporting rivalry between the stickmen and go worldwide surpassing the volleyball contest beating your opponent stickman in each level of the match. Hone your volleyball skills. Fun with fast paced game play, an astonishing ambiance with eye-catching flat animations, trouble-free controls, insane action and heaps of replay value. ,Play against skillful players and shoot the ball till you drop! Play the volleyball championship against the stickmen and get to the difficulty level will take many hours of intensive sports training. Get to aim and flip the ball throw the mesh so that it dropped on enemy's side. The score is kept in points. Dodge the ball and try to play with the stickmen. ,Choose your side and score points and enjoy the best game of volleyball! With our active illumination system and seamless sports psychics you will be even in what truly is the best mobile volleyball game experience. ,Cope with the ball up in the sky as soaring as you can to boldly with this Stickman Volleyball for FREE from Google play store on your android device. ,If you have any problem in installation, please report to us. We will try to fix it as soon as possible.",,,"  1,000 - 5,000  ",29-Mar-16,,,Top Developer,86,3.4,StickMan Volleyball 2016
      2.3 and up    ,Casual,"Let's have a meeting this weekend, relax yourself and do a soft massage for your body or go to beauty club to design your new clothes, new bags and gorgeous accessories. It seems that this is women's life, nothing can attract us except BEAUTY!,Do you want to design necklaces, bags and shoes by yourself? Maybe now you can do those with your hand, which will be a happy thing!,Necklace Design: choose your like color and select the beautiful accessories to embed the necklace, that is the unique. ,Bags Design: choose the bag template, the bags could be adjust other colors, various of patterns, which one would you like best?,Nail Design: Different nail tip length and shape, find the right and suitable color to match the season. So gorgeous! ,Shoes Design: So many high-heeled shoes, adjust colors and design as your idea. ,So many things can be done, but your face looks a little dirty? Just get a beauty salon club, do a nice salon now. It seems that today has a discount, good chance! Your skin looks too bad today, come, later you will be a beauty. ,Do you discover you are a great girl? You can also be a designer!",,,"  5,000 - 10,000  ",29-Mar-16, 1.0.0  , 20M  ,,247,4.1,Beauty DIY Club - Girls Games
      2.3.3 and up    ,Music,"FNAF Soundboard special for you ! If you like Five Nights at Freddy's World, Scare Your Friends for fun and Jokes!,This app is not created by the creator of Five night's at freddy's, nor is it affiliated, or supported by them at all. This is fans only.",,,,2-Apr-16,1, 23M  ,,35,4.9,Soundboard for FNAF
      2.3 and up    ,Simulation,"Truck Simulator Driving 3D is a new, stunt truck driving game, go to extreme speeds and jump off the biggest stunt in super charged these american trucks.All new trucks to bring you a whole new awesome driving.... Race to top speeds, jump off some of the most incredible stunt ramps with powerful, super charged trucks and modified vehicles!,!! FREE TO DOWNLOAD NOW !!,Become a tough and rough stunt truck driver, test your skills at driving and collect Stars scattered around the massive world. Collect Stars to unlock more trucks and cars to race in! Boost and perform amazing tricks by going on tons of unique stunts jumps, slip and slide on ice and dirt. Landmines spread through the minefield will totally wreck your truck! Some of the trucks have been modified to become monster trucks, drive vehicles like the police car, school bus, American 18-wheeler!!,You can also choose between tilt control and arrow controls.",,,"  10,000 - 50,000  ",15-Mar-16,1, 34M  ,,48,4,Truck Simulator Driving 3D
      2.3 and up    ,Pretend Play,"It is time to take over this city airport! Build your own airline, managing all the aircrafts and crew. Your airport must be the best one! Plane simulation is amazing!,Airport Manager's Duties,* Be an airport scanner, check passenger and their luggage by X-Ray scanner, make sure no prohibited items.,* Check Visa for everyone, the stamp will surprise you! ,* Some planes and helicopters are not working in the hangar, please fix and clean it!,* Be a pilot, fly your plane safely. Plane simulation is amazing!,* Offer In-flight Service to every passenger. ,* Be plane/helicopter commander, managing all planes/helicopters.,* Find customer's lost luggage.,* You can drawing when get an inspiration! ,Find your managing talent in Airport Manager! Have fun in this simulation game!",,,"  50,000 - 100,000  ",17-Mar-16, 1.0.082  , 27M  ,,972,4.2,Airport Manager
      2.3 and up    ,Creativity,"We all like sweet and delicious cakes. Which cake do you want to make today?,Update levels and unlock more sweet cakes. Let`s have a cooking fever!Be amazed when you eat cake!,******How to make cakes******,- Ingredients for cake cooking: flour/sugar/eggs/water/yogurt,- Put them into bowls, and blend it, the next step is - BAKE,- Fruit must be there for cake cooking, pick some fruit please,- Over 15 kitchen tools, help you to make sweet and yummy cakes ,- We also have candy/fruit/lollipop/cookies/chocolate/vanilla cream,******Cakes you can make******,Bake Fruit Cake/Cheese Cake/Matcha Cake/Chocolate Cake /Milk Chocolate Cake/Cup Cake/Donut/Brownie.,Be a super cake chef in Cake Master",,,"  10,000 - 50,000  ",31-Mar-16, 1.7.081  , 27M  ,,359,4,Cake Master - Super Chef
      4.0.3 and up    ,Arcade,"***CAUTION***  ,Fragile Eggs Inside! Handle with Care! ,Meet Meg the EggSitter! Meg’s simple EggStitting assignment turns into a crazy adventure when she discovers her egg is determined to make its way back to its home planet - EGGE!,Help Meg guide her egg home safely, without CRACKING and SPLASHING all over your screen!,Explore 50 levels and 10 worlds in this all new, addictively fun, physics-based game! ,Meg needs your creativity and EggSitting skills! Are you up for the challenge?!,Features:,- 50 levels with 10 different worlds,- Eggciting & highly addictive!,- 3 markers - each with different physics mechanics,- Eraser mode - try again to save the egg!,- Dozens of hilarious outfits to dress up your egg,- Realistic physics ,- Tons of solutions to complete each level,ABOUT US,Crazy Labs is a casual games brand, under which TabTale develops and publishes fun and addictive games. Crazy Labs partners with independent development studios across the globe to create engaging mobile content for audiences of all ages. ,Visit us: ,http://tabtale.com/contact/,.,Google Plus: ,https://plus.google.com/+Tabtale/posts, ,Like us: ,https://www.facebook.com/crazylabsgames,Follow us:@CrazyLabsGames,Watch us: ,http://www.youtube.com/iTabtale,CONTACT US ,Let us know what you think! Questions? Suggestions? Technical Support? Contact us 24/7 at Talk2Us@Crazy-Labs.com.,PRIVACY: ,* This App is free to play but certain in-game items may be purchased for real money. You may restrict in-app purchases by disabling them on your device.,* By downloading this App you agree to TabTale’s Privacy Policy and Terms of Use at ,http://tabtale.com/privacy-policy/, and at ,http://tabtale.com/terms-of-use/,.,This App may include third parties services, such as ad networks and analytics, and may contain social media links that allow users communicate with others. Collection and use of data are subject to TabTale's Privacy Policy.",,,"  10,000 - 50,000  ",29-Feb-16, 1.0.0  , 35M  ,Top Developer,135,3.7,EggSitter - Handle with Care
      2.3 and up    ,Casual,"Fruit Crush is fun and challenging juicy crush game! ,Colorful and delicious fruits are waiting for you! It must be a harvest season Oh! Now join in the interesting farm worlds, enjoy fruit carnival!,How to play:,1. Match three or more identical fruits to make them burst.,2. Complete goals need to remove obstacles in the moving steps.,3. Fewer steps to get more scores and stars,Game Features:,- Easy to use, hard to become a master.,- Two charming game modes.,- More than 80 challenging levels.,- Many challenging puzzles make the game more addictive.,Fruit Crush is completely Free to download. Challenge now!",,,"  10,000 - 50,000  ",31-Mar-16, 1.0.6  , 11M  ,,259,4.2,Fruit Crush
      4.0.3 and up    ,Puzzle,"Roller Coaster Game Minecraft,The best collection of Ideas Minecraft for Roller Coaster is here !! Comes with example with HD photo quality. Decorate your device everyday with a new Minecraft Roller Coaster wallpaper for your lock/home screen as well as multiple Roller Coaster minecraft related mini games to enjoy!,Roller Coaster Game Minecraft FEATURES:,: high quality images,: offline play minigames,: set minecraft Roller Coaster photo as wallpaper,: can pause and resume mini game anytime,: generate ideas for building your minecraft Roller Coaster building,***Special thanks to the Minecraft community for contribution of the photos and artwork!!!,DISCLAIMER: This app is in no way affiliated with minecraft and does not claim ownership of any of the content. This application complies with US Copyright law guidelines of ""fair use"". If you feel there is a direct copyright or trademark violation that doesn't follow within the ""fair use"" guidelines,please contact us directly.",,,"  10,000 - 50,000  ",8-Mar-16,1, 5.9M  ,,79,2.5,Roller Coaster Game Minecraft
      2.3 and up    ,Puzzle,"Follow the changing of the seasons, as Winter's chill gives way to Spring's burst of new life!,""Winter Spring"" is a jigsaw-like game brimming with stunning HD artworks. Solve 20 beautiful, hand crafted puzzles as difficulty increases. Can you become the hidden piece master?,Main features:,- Unique puzzle game mechanic,- 20 hand-crafted backgrounds,- Beat your best times,- Daily rewards,- Replay for high scores,- Become the hidden piece master!,Powered by Dolby® on supported devices",,,"  1,000 - 5,000  ",27-Mar-16, 1.0.3  , 24M  ,,53,4.6,Hidden Pieces: Winter Spring
      3.0 and up    ,Simulation,"Do you love pickup games? Maybe drifting in a dirty rally road? Flying Car: Offroad Pickup 4x4 is totally different than classic pickup truck games!,in this game you’re driving a flying pickup truck, once you reach flight speed you can fly your pickup truck like an airplane. You can test your airplane pilot skills and car driving ability at the same time. , get the extreme experience of SUV car driving with Flying Car: Offroad Pickup 4x4.,Drive your 4x4 pickup truck in off road, do stunts and drifts ! Fly your plane around the world discover new landscapes! You can do whatever you want in this world!,Flying Car: Offroad Pickup 4x4 is made for all fans of free car driving games, 4x4 pickup truck games, Airplane Flight games and Simulation games,FLYING CAR: OFFROAD PICKUP 4x4 - GAME FEATURES:,✔ Test your Pickup Truck Driving Skills,✔ Improve Airplane Flight Ability,✔ Stunning HD Graphics,✔ Beautiful Mountains and rivers,✔ Realistic and dynamic auto physics,✔ Advanced airplane flight physics,✔ Easy and Free to use,✔ No WiFi? No Problem.,✔ Offline Play",,,"  5,000 - 10,000  ",28-Mar-16,1, 19M  ,,133,4.3,Flying Car: Offroad Pickup 4x4
      4.0 and up    ,Action & Adventure,"Try to win in hockey of football matches in this Air Hockey!,Challenging game modes with your friend or computer opponent will help you to have a lot of fun in Glow Air Hockey Space!,Space Air Hockey features:,- 2-player game mode,- 3 themes Space, Football and Hockey,- Beautiful HD graphics 3D,- Great glow graphics in futuristic theme,- 3 difficulty levels,- Vibrate game mode,Try to win on football or hockey field, try to feel the air hockey speed and try to be the best from the best of all world hockey stars right now! Looking for glow in the dark air hockey? It is here in one of the best virtual table tennis 3d games right now!,Download Glow Air Hockey Space for FREE and you will have air hockey 2 players, multiplayer air hockey, neon air hockey and so on!,Make your own mini hockey stars, soccer stars or galaxy legend gamer here in great Mini Hockey on your smartphone or tablet!,Try to be the first in Space mini football championship and win all matches on football or soccer field.,Space marshals want to play a game with you on the special galaxy field on the deep space! Make your own legend right now, win them all!",,,"  10,000 - 50,000  ",30-Mar-16,1.1, 34M  ,,"1,030",4.7,Glow Air Hockey Space FREE
      3.0 and up    ,Puzzle,"Find differences 150 levels 3 is the third part of the game Find the difference 150 levels, (see here https://play.google.com/store/apps/details?id=com.kryptongames.findthedifference150levels,150 levels 2 see here https://play.google.com/store/apps/details?id=com.kryptongames.finddifferences150levels2),Find 10 differences between two HD pictures with no time limit.,Find the Difference is a FREE Puzzle game.,150 levels.,No time limit,HD pictures.,2 hints at the end of each level.,Zoom pictures.,Horizontal and vertical position of the screen.,At each level try to find hidden magnifying glass to increase the number of hints.,You may skip any level.,Enjoy Find the Difference puzzle game!",,,"  10,000 - 50,000  ",12-Mar-16, 1.0.1  , 38M  ,,496,4.7,Find Differences 150 levels 3
      2.3 and up    ,Role Playing,"***** Fire Ant Simulator *****,Establish your ant colony, feed the Queen, find Worker and Soldier Ants, and go out in search of the bosses. ,Enter this highly detailed 3D insect world as a fire ant and build your colony.  Find enough worker ants to establish your colony.  When your colony is large enough, the queen will arrive.  You will also find yourself in head to head battles against Rhino Beetles, Ladybugs, Praying Mantises, Honey Bee, Scorpion, and Spider.,Top Game Features:,✳✳ Huge 3D Insect World Map,✳✳ Open World Style RPG game,✳✳  Fast paced and action packed animal simulator,✳✳ Call your colony members when you are near your enemies,✳✳ Realistic wild insect sound effects and weather effects,How to play:,Part 1 : Build your Colony,--Find 6 Worker Ants,--Find 6 Soldier Ants,--Feed your Queen,Part 2 : Find and Defeat the Bosses,--Bosses include Rhino Beetle, Honey Bee, Praying Mantis, Ladybug, Spider, and Scorpion.,Part 3 : Defeat the other Ant Clans,Part 4 : Find and Defeat the Super Bosses,Hi Wildfooters!  We love hearing from you.  We are super excited about our latest insect series of games - aptly named ""Insecto"".  This game is the first in a series of game with bugs.  Be sure to send us an email at ,wildfootwork1@gmail.com, and let us know how we are doing.,Come check us out on Facebook  : ,https://www.facebook.com/wildfootgames",,,"  5,000 - 10,000  ",26-Mar-16,1, 35M  ,,351,4.1,Fire Ant Simulator
      4.0.3 and up    ,Educational,"There’s a magical, modern place called Royal Princess Charm School which teaches tiara designing, dancing, how to have tea parties, and general, proper princess etiquette) in order to learn the girls’ full potential. Every girl has a dream to be one of the Royal Princess Charm School.,One day, Victoria, Elizabeth, Anne and Catherine are so lucky to be picked by the Royal Princess Charm School for their uniqueness. ,Can you imagine how beautiful the castle is? The Royal Princess Charm School have different theme castles for different lessons. There’re Diana Beauty Center for makeup lessons, Athena Wardrobe for dressup lessons, Muse Royal Place for tiara design, Venus Auditorium for dancing lessons. Victoria, Elizabeth, Anne and Catherine have so much fun and show their talents here!,Do you wanna be one of them? Join them now! And experience the fantasy Royal Princess Charm School for fun here! Here we go~,Creating your own unique princess style will be needed to stand out from the crowd. You have tons of different style fashionable combinations to choose. Rock to the core or be a goody-goody? You decide! You will use the best tools to show your beauty talent! Don’t forget the dancing lessons for the coming prom, you will love it! ,Oh, here’s the most exciting part: Every girl will have the chance to make her own tiara! Use the driller to make your favorite tiara shape, put endless jewelry, pearls, and diamonds on your tiara! ,Don’t waste your talent! You could be a royal princess!,Product Features:,- A dreaming magic royal princess charm school themed makeover game,- 4 different styles princess to play,- A fantasy magic world with special tool effects highlighted,- Endless jewelry, pearls and diamonds to make the princess tiara,- Mysterious locker items waiting for your exploration,- Tons of different styles makeup with shining beauties on eyes, faces and lips,- Stylized creative gorgeous and cool style dresses to wear,- Various trendy and thematic accessories to put on ,- Special spa features for cleaning and relaxing ,- Interesting new BBF photography with self-made or selective scenes to choose from,How to play: ,- Use interactive controls to play the game,- Start by choosing your favorite royal princess,- Take different courses for spa, make up, dress up and tiara design to be trained as a princess,- Make your unique princess tiara with as many jewelry as you want ,- Glam up for your dreaming prom and be the spotlight,- Take photos with BBF and share it with friends,Wanna have more fun? Having problems or suggestions? We would love to hear from you!,You can find us on Facebook at ,https://www.facebook.com/BearHugMediaPrincessGames,Or on Twitter at ,https://twitter.com/bear_hug_media,For more information about Bear Hug Media, please visit ,http://www.bearhugmedia.com",,,"  1,000 - 5,000  ",31-Mar-16,1, 80M  ,,62,4.3,Royal Princess School Diary
      2.3 and up    ,Sports,"This is a funny and pixelated soccer VS game. Surely you don’t need to control so many players to run all around the soccer.Physics world because,all you need to do is to control two players to kick the ball into opponent’s goal.,What it differs from other soccer game is that it abandons the rules and limitations of original soccer game, in which you could use your hands, your feet and even any part of your body; similarly you will find that you may play soccer or basketball and etc.,In addition, we also added a function of choosing the scenario, which contains all kinds of scenarios. Opening the corresponding scenario could unlock new characters and so on. We will add more colorful scenarios and more attractive characters later.,Happiness is to be shared, so two-player mode may be a bright spot of this game. Our aim is not goal but happiness, so enjoy it with your friends!,Joking? We are serious.",,,"  10,000 - 50,000  ",13-Mar-16,1, 12M  ,,237,4.3,Soccer Amazing
      2.3 and up    ,Casual,"Assemble the parts are scattered,Try assembling a large and powerful robot dinosaur ""Amarga Allo"".,After assembling You can use a variety of techniques.,if you review and comment new dino robot, we will make it soon.",,,"  10,000 - 50,000  ",13-Mar-16, 1.0.1  , 32M  ,,195,3.9,Amarga Allo - Dino Robot
      2.3 and up    ,Casual,"Turn your phone into an ultra-realistic stun gun!,Flash behaves like real stun gun.,Scare your friends by simulating an electric shock. Flash can also use flashlight to light your way.,• Press the button to simulate an electric shock,• Change the color flashes,• Change the speed pulses,• Use the flashlight mode,• Make the background transparent for even more realism",,,"  10,000 - 50,000  ",15-Mar-16, flash-1.0  , 1.8M  ,,125,4,Flash Stun Gun
      4.0.3 and up    ,Puzzle,"⚡⚡⚡Open your wifi, Welcome to sexy cowboy world!⚡⚡⚡,--------------------------------------------------------------------------------------,Interesting platformer game play:,💡- Each level you are given a mysterious chest, which has everything you need.,💡- There is no game consumption, we added made you interesting little surprise.,(Of course, you will want to find the above two surprises, remember to turn on your wifi after how many levels oh),💡- 3 or more identical bubbles shot get eliminated.,💡- slide your line of sight to change the direction of Bubble Shooter.,💡- make good use of the line of sight in a line on both sides of the wall to complete the precise ejection.,💡- the key change ball button lets you choose your favorite to shoot the ball in a number of spheres.,💡- I want to be sure to remember the perfect collection conditions required by the level badge oh.,💡- there are a variety of a variety of props to help you, so you need to explore, and are absolutely a surprise!,--------------------------------------------------------------------------------------,A sexy little girl with a cowboy when only a dream, that one day her through to her cowboy dream world, she was very happy, this time she found the ground had a golden badge, when she touch the moment, she received a delicate female jeans, she can not wait to put on, when she was full of joy when she found qualified to become a cowboy seems to be missing something, in her thinking, an escape is a horse lame one think he ran behind the horse billowing smoke, but the little girl only saw the horse when it shines, she finally knows what she is missing her missing is the horse, so the girl saved this horse horse, and started a fun games!,Now the girls grow up, have a new goal, to open the road all the treasure chest free to find all the different, still hesitant to decrypt box experience trip now!,--------------------------------------------------------------------------------------,💎- There are many mysterious chest!,💎- There are different items for you!,💎- There are beautiful, intelligent cowgirl!,💎- There are handsome funny horse!,💎- There are all kinds of strange bubbles!,💎- There is a rich cowboy world architecture scene!,💎- There is a very cool effect screen!,💎- There is a clear picture of fidelity!,💎- Here are the most smooth gaming experience!,💎- There is a very reasonable level logic design!,💎-Here you have to make full entertainment space!,💎-Help sexy girl complete her dream, come and join!",,,"  1,000 - 5,000  ",27-Mar-16,2, 24M  ,,65,4.4,Fun adult Bubble Shooter
      2.3.3 and up    ,Racing,Drive fast off-road vehicles and drift on a large map. Avoid other traffic vehicles and collect gas cans. Try to reach the longest distance without crashing your car or getting out of the fuel. Collect money and buy other high-powered off-road vehicles.,,,"  100,000 - 500,000  ",18-Mar-16,20160318, 39M  ,,"1,729",3.7,Off-road Drift Driver
      2.3 and up    ,Simulation,"You have been sent to jail for murder for a crime you didn't commit. Manipulate the prisoners and guards, use your skills and do whatever it takes to escape, and maybe then you'll get a chance to prove your innocence. Prison Escape Hard time Police game is all about making a safe escape from the border police of jail while rescuing the imprisoned inmates. Sneaking in the corridors for escaping is very tough as the guards and jail warden is continuously patrolling in cell. High security checks based on modern technology has made it even tougher to make a safer escape. Make a tricky jail break plan and rescue your fellow inmates. Find out the tools hidden in the jail that might help you in fighting with the aggressive cops and guards. Use your weapons in the best possible way to kill real police cops. Make your super moves to get rid of the guards in one go in this survival game!, ,Get ready to attack maximum security border police of jail in Prison Escape Hard Time Police game. Show extreme stealth skills to sneak inside jail to help your cell inmates and gang members in this newest prison break game. You spent some hard time with punishment in this lockup. Now it’s time to help your lockdown cell inmates, criminals and gangster to get out of this prison break game. Your life mission is to help your lockup cellmates, prisoners and make them escape the prison. Some hardcore criminal and gangsters are lockdown in special cells, get master key from warden so you can help escaping all. Do whatever it takes to free lockup inmates and complete breakout assignment., ,Don’t want to waste your life in this torturing hell. Develop a plot to escape from the imprisonment. But it’s not easy as the fierce guards, aggressive wardens and the armed cops are after you. You only managed to find some simple attacking tools like baseball bat. Use it to kill the police men by hitting hard on their head and body with these simple attacking tools you managed to find out in the jail. It’s time to use your skills and wisdom and do whatever it takes to jail escape game., ,Prison Escape Hard time Police Features,•	Amazing 3D Prison Environment,•	Real Thrill of Escaping the Prison,•	Interesting Game Play,•	Different Combating Tools,•	Smooth and intuitive controls,•	Stunning & High Quality 3D Graphics,•	Player Punch, Wrenge and Combos,•	Thrilling and challenging Missions,•	Easy and fun to play",,,"  10,000 - 50,000  ",10-Mar-16,1, 46M  ,,383,3.6,Prison Escape Hard Time Police
      4.0.3 and up    ,Board,"MahJong Classic is a premium quality mahjong matching game with custom designed tiles! This relaxing game is based on the traditional Mahjongg game: your goal is to match and remove all tile pieces from the board.,If you only have a few minutes to play or you want to get rid of stress and relax for hours just play Mahjong!,Become the Zen Master of Mahjong by matching all the identical tiles to make them disappear and win the game! Play some relaxing MahJong Classic now!,*Features*,• Over 300 game levels,• Relaxing zen game play,• 4 large high quality tile art sets,• Auto and manual zoom,• Hint,• Challenge your friends,• 5 beautiful backgrounds,• Optimized for portrait mode,• HD graphics,Mahjong Classic is a free board game.",,,"  1,000 - 5,000  ",3-Apr-16,,,,83,4.5,Mahjong Classic
      2.3 and up    ,Board,"Our Spring Garden is teeming with new growth! Take a stroll through this fantastic foliage!,""Spring Garden"" features HD graphics, beautiful artwork and music! Solve 20 beautiful, handcrafted boards as difficulty increases. Can you become the mahjong expert?,Main features:,- New mahjong mechanic and unique power system,- 20 handcrafted backgrounds,- Beat your best times,- Daily rewards,- Replay for high scores,- Earn coins and unlock more boards,- Become the mahjong master!,Powered by Dolby® on supported devices",,,"  1,000 - 5,000  ",27-Mar-16, 1.0.3  , 28M  ,,98,4.7,Hidden Mahjong: Spring Garden
      2.3 and up    ,Role Playing,"Dream Warrior takes fighting as its key feature. 360 degree free fighting, say goodbye to the fix standing with fake moves style. What’s more, with extremely cool combo attack, exquisite graphics, amazing characters, the game entertains all gamers with brand new visual effect of fighting experience just the same as action movie. More gameplays in game welcome you joining into the game for witnessing the era of ARPG 2.0.,Physical Screen-Shaking Effect, Strong Sense of Beat,Dream Warrior is designed with the independent R&D latest engine. Environment halo, exquisite graphics with particle effects, unique visual effect, perfectly reproduced legendary oriental charm, exciting fighting, cool skills, all-round and lock-free fighting system, floating combo attack, subduing skill, swift dodge and some other powerful physical effects, special physical screen shaking effect which brings everyone shocking sense of beat all these can be found in the great mobile game, Dream Warrior.,Special Fighting Wings System, Brand New Mode for Fighting,Dream Warrior refuses to be ordinary. Gamers can acquire the items for activating fighting wings during the battle. By activating it on the interface of characters, you are able to show a different look to others. Characters can be added with buff by activating the fighting wings as well. With the activated wings, you can be different among others while you are in the fight.,Cute Pet Upgraded, Causing Huge Damage,In Dream Warrior, the pet not only has a good-looking physical appearance, but also makes contribution in the battle for its owner. Besides, as the fighting system fully upgraded, pet can join the battle with three active skills, and all the acquired skills will add buff to the pet itself. In the instance or fighting event, the skill of the pet can be released in sequence, every skill released once, the damage will be huge enough to beat your enemy.,Innovative Factions Spectator Mode, Battle Live Broadcasting,In Dream Warrior, the faction system not only provides spectator mode, but also the battle live broadcasting. Every round in the fight, the player who is standby for the battle is able to enter into the battle for watching only by clicking on the battle live broadcasting page. The battle information for each round is broadcasted on the broadcasting system, and everyone can chat with each other via the convenient chat room there. ,Dream Warrior with multiple upgraded gameplays, brand new amazing special effects, you can’t miss it!",,,"  10,000 - 50,000  ",31-Mar-16,4.6, 87M  ,,381,4,Dream Warrior
      2.3 and up    ,Simulation," Experience the real prison bus in , Stardew Valley : Prison Bus 3D , ,In Stardew Valley, a lot of different criminials have been coming in and ruin the show for everyone! It’s your job to cath these villains and put them where they belong! You do this by driving your police prison bus in Stardew Valley. Not a very easy job, but doable!, Five diferent prison busses for you to choose from! ,  ,Of course you need more then 1 prison bus to choose from. A real cop can choose his own vehicle right. That is why we implemted multiple prison busses! Each prison bus has his own skill and strenght, it’s up to you to find out which one that is. , If it doesn’t suit you, upgrade it! , ,When you think the prison bus in , Stardew Valley : Prison Bus 3D , becomes to slow for you, take all of that money you have earned and put it into the prison bus itself! , Stardew Valley , needs a new hero, are you the hero it needs? , , Stardew Valley : Prison Bus 3D , Game Features: , ,▶ Arrest all of the criminals running amok in Stardew Valley!,▶ Drive in Five different prison busses! ,▶ Upgrade them all! ,▶ Become the new hero!",,,"  50,000 - 100,000  ",11-Mar-16,1.2, 49M  ,,304,3.3,Stardew Valley : Prison Bus 3D
      2.3.3 and up    ,Simulation,"The Burglar is on the move. This time in supermarket where the guards are standing in different positions but stealing is not easy especially when the things doesn’t really go the way you want. Something went wrong that let the crazy dinosaurs enter in the mart. Now you need to win this crazy fight not only with the cops but with little monsters as well. ,You need to reach the escape point at all cost to end each level!,Sneak in the supermarket, turn off the security cameras, steal the drinks, grab the utility items while managing to escape from the guards in the mart.. Hit them hard with your weapons. Run for your life. Kill the guards and dinos before they kill you! ,Prove yourself as best burglar of the city!,Features:,Crazy Escaping Game!,Dinosaurs and Police Cops!,Different Fighting Weapons!,Amazing 3D Features!",,,"  5,000 - 10,000  ",4-Apr-16,1.1, 53M  ,,63,3.9,Supermarket Escape Dash
      4.0.3 and up    ,Casual,"Classic puzzle game Candy Panda Shooting is coming now.,Guess this time what we bring to you.,Candy Panda Shooting is a magic world of candy panda. There are too much funny waiting for you. ,In the Candy Panda Shooting, you simulate a candy panda to pop bubble shooting monster, it looks like classic bubble shooter games, it's a war of bubble.,How to play:,1.Tap the place where you want the bubble to be shoot.,2.To group 3 or more bubbles to make them burst.,Tips: Breaking the bubbles continuously can get points as bonus.,Features:,- Having 350 different and challenging levels to challenge your brain,- Having more than 20 coloring bubbles,- Easy to learn, challenging to master!,- Fantastic graphics, fluent shooting experience,Let's help Candy Panda to shoot bubble monster.,Candy Panda Shooting also can be played when there is no wifi.,Candy Panda Shooting is a real offline game. ,So we don't support multiplayer play it online.,You can download it for your kids or girlfriends or old parents.,Raise your finger, simple tap tap the screen,feel the funny we bring to you.",,,  100 - 500  ,1-Apr-16,2, 22M  ,,10,4.2,Candy Panda Shooting
      4.0.3 and up    ,Arcade,"Spin your elephant around and shoot down the blocks coming from all the sides!,It is important to move smartly and adjust the angle.,How long can you keep your elephant alive?,Shoot down the block quickly to protect your elephant!!,CCTAN by 111%,Features,- Unlock 50 balls including some unique balls, simple balls and super mini ball, etc.,- Challenge your friends with GooglePlay support.,- Check facebook page, 111%, for getting hidden ball.,- CCTAN is brother of BBTAN",,,"  100,000 - 500,000  ",27-Mar-16,1.14, 38M  ,,"5,965",4.5,CCTAN
      4.1 and up    ,Casual,"It’s the night the whole high school has been waiting for! It’s prom night and you have to prepare yourself for your date! ,Start by going to the high-end salon for a facial treatment using all natural oils and exfoliants. Scrub, clean and moisturize your skin so you radiate beauty. Then, head to the salon for a fun makeover. ,Play with different kinds of makeup. Apply mascara, eyeshadow and lipstick in all different colors. Mix and match glittery looks with smouldering colors. Style your hair too! Try on an up do or maybe pigtails? See what look is going to be the one to help you win prom queen! ,Finally take some time at the dress shop to find the perfect gown for the evening. Will you go elegant and classy, or punk rock princess? Add jewelry and shoes to finish the look. ,You’ll be a modern day Cinderella. Don’t forget the crown! ,Product Features: ,- Prom themed backdrops and dress up,- Three exciting levels,- Easy to use controls and lots of stylish choices,How to Play: ,- Tap to choose makeup, hairstyles and outfits,- Swipe to apply cosmetics while at the salon,- Play again and again to find the perfect look fit for a queen! ,******************************************,STAY TUNED with our social media!,Come join our Facebook: ,https://www.facebook.com/pages/Beauty-Inc/1490275731254673,Get us on Twitter: ,https://twitter.com/Beauty__Inc,Come see our website! ,http://www.beautyapps.net/,Are you an Instagrammer? Check our our posts here: ,https://instagram.com/beauty.incorporated/",,,"  10,000 - 50,000  ",22-Mar-16,1, 40M  ,,249,3.7,High School PROM Night Salon
